career_objective,skills,degree_names,positions,locations,responsibilities,role_positions,certification_skills
,"['CPR & First Aid Certified', 'Proficient in Microsoft Word', 'Basic knowledge of Microsoft PowerPoint and Excel']",['Bachelor of Science'],"['Dining Room Attendant', 'Babysitter']","['Hammond, LA', 'Covington, LA']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['Your Role/Position', None, None]",[['CPR & First Aid']]
,"['accounts receivable', 'AIA', 'bank reconciliation', 'billing', 'billings', 'budgets', 'daily cash receipts', 'cash flow', 'Consultant', 'Contracts', 'Controller', 'clients', 'financial', 'financial reports', 'financial statements', 'Forms', 'General Ledger', 'general ledger accounts', 'Government', 'insurance', 'meetings', 'excel', 'Microsoft office applications', 'office', 'PowerPoint', 'Pivot tables', 'presentations', 'Prime', 'progress', 'proposals', 'Express', 'reporting', 'spreadsheet', 'tax', 'Timberline']","['M.B.A', 'B.A']","['Project Accountant', 'Project Administrator Engineering', 'Project Administrator', 'Senior Staff Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,
,"['Administrative support', 'AP', 'Critical thinking', 'Doors', 'Engineer', 'Senior Management', 'Forms', 'Functional', 'Leadership', 'Machinery', 'Navy', 'Oil', 'Organizational', 'Pearl', 'Personnel', 'Personnel management', 'Pick', 'Problem solving', 'Progress', 'Project management', 'Proposals', 'Quality assurance', 'Repairs', 'Reporting', 'Requirement', 'Switches', 'Time management', 'Troubles', 'Technical review', 'Blueprint understanding', 'Project support', 'Document control', 'Engineering operational functions', 'SharePoint', 'Manufacturing systems integration', 'Team management']","['GED', 'A-651-0118, Engineering Common Core', 'A-651-0120, Engineering Mechanical', 'A-652-0298, Gas Turbine Mechanical/Electrical A School', 'A-651-0119, Engineering Electrical', 'A-652-0240, SHIPBD GAGE CAL', 'A-495-0018, SHIPBOARD FIREFIGHTING', 'A-652-0188, Waste Heat Boilers', 'A-012-0077, Class Facilitator Instructional Delivery Continuum', 'G-651-0613, MACHINERY CONTROL SYSTEM', 'J-500-0029, Marine Maintenance And Ship Repair 3-M System Coordinator/Inspector']","['Engineering Assistant', 'Electrical Superintendent', 'Engineering Assistant']","['City, State', 'City, State', 'City, State']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,
"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.","['Neural Networks', 'Python', 'Postgresql', 'Django', 'Microsoft Azure', 'Flask', 'Hive', 'Kafka', 'Business Analysis', 'Machine Learning', 'Deep Learning']","['B.Tech', 'MSc']",['Machine Learning Engineer'],['Remote'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,
"To design, develop and manage products in the field of consumer electronics devices, networking protocols, internet applications and connected devices. Vision to create personalized experiences based on machine learning.","['Lead Development', 'build teams', 'mentor', 'interface with customers and vendors', 'architect end to end', 'Develop products in consumer electronics', 'digital TV', 'industrial automation', 'control systems', 'C', 'C++', 'JAVA', 'JVM', 'Embedded Linux', 'LXC', 'Device Drivers', 'Socs', 'RTOS - OS9', 'VXWorks', 'DVB', 'MPEG', 'H.264', 'HLS', 'MP4', 'JSON', 'REST', 'SOAP', 'XML', 'SNMP', 'TR069', 'Microcontrollers', 'hardware', 'Matlab', 'Octave', 'Mathematical modeling', 'Integrating content protection systems', 'Agile Methodologies', 'Scrum', 'SDLC', 'project planning and management', 'leadership']","['M.Tech', 'B.E', 'Course']","['Engineering Manager', 'Engineering Manager, Architect', 'Senior Software Engineer']","['City , State', 'City , State', 'City , State']","15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",,
"A Software Designer Internship with a client-driven corporation leading the field of wireless communication, where outstanding success in team projects, involving design and implementation of software, as well as proven ability to deliver high quality projects on-time will contribute to the implementation, testing and support of innovative wireless products.","['Object-oriented programming', 'manual testing', 'technical report writing', 'Windows XP/Vista', 'Unix', 'Linux', 'Administration of Windows 2000 Server', 'MIPS Assembler', 'Unix Shell Scripts', 'C', 'Java', 'JVS', 'VBS', 'PL/SQL', 'ASP', 'Digital Logic', 'Verilog Hardware Language', 'installation and configuration of peripherals', 'troubleshooting hardware', 'embedded systems', 'robotics', 'MS Office Suite', 'MS Visio', 'MS Project', 'SQL Navigator', 'Remedy', 'Eclipse']",['Honours Bachelor of Science'],"['Customer Service Representative', 'Academic Resource Advisor']","['Toronto', 'Toronto']","Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,
,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'development', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering', 'Programming', 'anatomy', 'benchmarking', 'lean manufacturing', 'manufacturing process', 'cost analysis', 'packaging', 'process engineering', 'Product Development', 'surveys', 'validation', 'welding']","['Master of Science', 'Bachelor of Engineering']","['Engineering Assistant', 'Engineer']","['City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,
,"['C/Python', 'R', 'STK', 'CATIA', 'ANSYS', 'LaTeX', 'SolidWorks', 'Microsoft Office', 'Microsoft Project']","['High School Diploma', 'Bachelor of Science, BE Bachelor of Engineering (Honours) (Aerospace)']","['Engineering intern', 'Tutor', 'Mechanical Design Engineer']","['City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","['Engineer', 'Social Support and Youth Services Volunteer']","[None, None, ['SQL']]"
,"['advertising', 'competitive', 'content', 'contracts', 'customer satisfaction', 'customer service', 'customer support', 'fashion', 'fast', 'functional', 'marketing strategies', 'marketing', 'market', 'marketing material', 'networking', 'payroll', 'progress', 'promotion', 'quality', 'selling', 'sales', 'script', 'strategic', 'telephone', 'phone', 'training manuals']",['High School Diploma'],"['Business Development Manager', 'Event Manager', 'Customer Service Call Center Manager', 'Customer Service Representative / Call Center']","['City, State', 'City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,
"Dedicated and well-rounded software engineer with a passion for math, computer science, and elite education. Bringing 12+ years of teaching expertise to help Amazon's Career Fulfillment students feel the same joy and pride in my comprehensive JavaScript computer science program as my past 150+ high school students. Eager to teach the basics, get students the tools they need, and foster their passion to reach their goals.","['HTML', 'CSS', 'JavaScript (Angular)', 'Python', 'Git', 'Algorithm Design', 'Technical Writing', 'Data Analysis', 'Interpersonal Communication', 'Patience']","['Master of Science', 'Bachelor of Science']","['Computer Science Teacher', 'Software Engineer', 'Junior Software Engineer']","['Princeton, NJ', 'Remote', 'Cherry Hill, NJ']","Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",,"[None, None]"
,"['Generally Accepted Accounting Principles', 'Generally Accepted Auditing Standards', 'Interviewing Techniques', 'Research & Data Gathering', 'Financial Analysis', 'Budget Preparation', 'Accounts Payable/Accounts Receivable', 'Implementing Effective Internal Controls', 'OMB Circular A-133', 'MS Office', 'Quickbooks', 'Accounting', 'Administrative', 'Agency', 'Audit Report', 'Backup', 'Bank Reconciliations', 'Basic', 'Billing', 'Budgets', 'Cash Register', 'Cashier', 'Catalog', 'Clerical', 'Conferences', 'Contracts', 'Client', 'Data Analysis', 'Database', 'Decision-making', 'Direction', 'Documentation', 'Financial', 'Financial Statements', 'Funds', 'Legal', 'Money', 'Policies', 'Processes', 'Video']",['Bachelor Business Administration'],"['Accountant', 'Administrative Specialist II', 'Auditor II', 'Accountant']","['City, State', 'City, State', 'City, State', 'City, State']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,
I am fresher data analyst starting out in ERP and MIS. As a fresher I am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,"['MIS reporting', 'Advanced Excel', 'Dashboards', 'Data Analysis', 'SQL', 'MySQL', 'Power Bi', 'Machine Learning', 'Linear Regression', 'Statistical Analysis', 'Clustering', 'NoSQL', 'MongoDB', 'Python', 'EDA', 'Business Intelligence', 'Logistic Regression']","['B.A (Economics)', 'M.A (Economics), Correspondence/Distance Learning']",['MIS Analyst'],"['Remote', 'Vancouver, BC', 'Toronto, Canada']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",['Data Science with Python'],
"Flexible, autonomous graduate with an MS in Computer Science looking to leverage experience building responsive and scalable web apps to solve problems that delight end-users. Motivated to learn from senior engineers while sharing innovative ideas in an environment like Odoo that values personal growth.",[],"['M.S.', 'B.S.']","['Full Stack Engineer Intern', 'Full Stack Engineer Intern']","['Portland, OR', 'Pittsburgh PA']","Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",,
,"['streamline', 'approach', 'balance sheet', 'bonds', 'budgeting', 'business development', 'cash flow', 'clinical research', 'clinical trials', 'com', 'consulting', 'corporate finance', 'CRM', 'database', 'email', 'English', 'equities', 'Fast', 'financials', 'financing', 'financial', 'fundraising', 'funds', 'graphical user interface', 'information systems', 'Innovation', 'inventory', 'marketing', 'network', 'neural', 'next', 'presentations', 'Speaker', 'sales', 'scientific', 'Spanish', 'strategy', 'strategic', 'websites']","[""Master's in Finance"", 'Bachelor of Science']","['VP of Business Development', 'Co-Founder VP of Business Development', 'N/A']","['City, State', 'City, State', 'City, State']","Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,
,"['Basic and Advanced Supervision Training Courses', 'CBMET', ""Toshiba certified service trained on Aquilion 16, 32 and 64 slice CT's"", 'Toshiba certified service trained on Vantage 1.5 T 8 channel MRI', 'Toshiba certified service trained on Siemens E-Cam Nuclear Medicine Camera', 'Aramark service trained on GE AMX 4 and AMX4+ portable XR unit', 'Aramark service trained on GE 9600, 9800, 9900 Portable C-Arm', 'Aramark service trained on GE Precision 500 Radiology and Fluoroscopic image system', 'Microsoft Applications', 'Foresight Imaging Systems trained on DICOM protocols', 'Skilled in the operation of MS 2000, Windows 7, MySQL, PHP, Apache, UNIX, Linux, Cisco', 'Skilled in the operation of networks', 'Skilled in the operation of workstations and servers']","['AAS', 'BA', 'Diploma']","['Clinical Engineering Manager', 'Imaging Service Engineer', 'Imaging Service Engineer', 'Biomedical Equipment Technician II']","['City, State', 'City, State', 'City, State', 'City, State']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,
