Experience,Qualifications,Salary Range,location,Work Type,Job Title,Role,Job Description,skills,Company
3 to 13 Years,BCA,$65K-$113K,Banjul,Part-Time,Business Development Manager,Strategic Partnerships Manager,"A Strategic Partnerships Manager identifies and develops strategic partnerships and alliances that benefit the organization, fostering collaborations and driving mutual success.",Partnership development Negotiation and collaboration Business development,Tenet Healthcare
0 to 12 Years,B.Com,$63K-$96K,London,Intern,Java Developer,Java Backend Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",Exelon
4 to 8 Years,MBA,$64K-$124K,Manila,Part-Time,Sales Manager,Sales Team Leader,"Lead and motivate sales teams, set sales targets, and develop sales strategies to meet goals.",Sales leadership Team management Sales strategy and planning,SAP SE
2 to 12 Years,M.Com,$55K-$127K,Quito,Contract,Data Engineer,Big Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Fidelity Investments, Inc."
2 to 12 Years,BBA,$63K-$113K,Castries,Intern,Database Developer,NoSQL Database Engineer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",Intercontinental Exchange
5 to 10 Years,BA,$56K-$129K,AsunciÃ³n,Intern,Supply Chain Manager,Demand Planner,A Demand Planner analyzes historical sales data to forecast future demand for products. They work to optimize inventory levels and ensure product availability while minimizing costs.,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Power Grid Corporation of India
4 to 14 Years,B.Com,$60K-$107K,Praia,Intern,Wedding Planner,Wedding Designer,"A Wedding Designer specializes in creating visually appealing wedding designs and décor, transforming wedding venues into beautiful and memorable spaces.",Wedding design concepts Decor selection and arrangement Creative flair,Consolidated Edison
0 to 13 Years,PhD,$60K-$100K,Port Moresby,Part-Time,Event Coordinator,Event Planner,"Plan and coordinate events, including selecting venues, managing budgets, arranging logistics, and ensuring a successful outcome.",Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,Northrop Grumman
1 to 11 Years,MBA,$60K-$124K,Seoul,Full-Time,IT Support Specialist,Desktop Support Technician,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",Corteva
2 to 13 Years,BBA,$55K-$88K,Dakar,Intern,Investment Analyst,Portfolio Manager,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,Icahn Enterprises
0 to 10 Years,BA,$62K-$102K,Bandar Seri Begawan,Contract,Family Nurse Practitioner,Geriatric Nurse Practitioner,Geriatric Nurse Practitioners focus on the healthcare needs of elderly patients. They provide specialized care and address age-related health concerns.,Geriatric healthcare Geriatric assessment Geriatric treatment Elderly patient care Geriatric pharmacology,Colgate-Palmolive
4 to 12 Years,BCA,$55K-$111K,Muscat,Contract,Customer Success Manager,Account Manager,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Huntsman
0 to 12 Years,BCA,$59K-$113K,Maseru,Intern,Procurement Coordinator,Purchasing Coordinator,"Purchasing Coordinators manage procurement processes. They source and purchase goods and services, negotiate with suppliers, and ensure cost-effective and timely acquisitions.",Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,Dover
1 to 8 Years,M.Tech,$65K-$90K,Port Moresby,Part-Time,Data Engineer,Big Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",Lendlease Group
5 to 10 Years,BBA,$57K-$104K,Bamako,Full-Time,Urban Planner,Transportation Planner,"Transportation Planners design and manage transportation systems. They optimize traffic flow, plan public transit routes, and enhance overall transportation efficiency.",Transportation planning Traffic engineering GIS proficiency Public transportation Project management,Asbury Automotive Group
1 to 9 Years,MCA,$65K-$107K,Pretoria,Full-Time,Account Executive,Key Account Executive,A Key Account Executive manages strategic accounts for a company. They build strong client relationships and work to expand business opportunities within these key accounts.,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,TD Ameritrade Holding Corporation
4 to 11 Years,M.Tech,$56K-$128K,Kuwait City,Contract,HR Coordinator,Benefits Coordinator,"Benefits Coordinators administer employee benefit programs, including health insurance, retirement plans, and other perks. They assist employees with benefit inquiries and ensure compliance with benefit policies.",Employee benefits administration Benefits compliance HRIS Benefits communication,Muthoot Finance
3 to 15 Years,M.Com,$62K-$98K,Port Vila,Contract,Architectural Designer,Interior Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",Dana
